orphan-kbpedia-id,orphan-opencyc-id,kbpedia-id-parent,opencyc-id-parent,opencyc-parent-label
,,,,
,,,,
FROM KBpedia STATS,,,
,,,,
,,,,
FROM OPENCYC STATS,,,
