s,p,o
http://dbpedia.org/ontology/Skater,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Ski-jumper,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SnookerChamp,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SnookerPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SpeedSkater,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SportsTeamMember,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/TableTennisPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/TeamMember,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/WaterPoloPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/WinterSportPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Athletics,owl:equivalentClass,http://kbpedia.org/kko/rc/AthleticActivity
http://dbpedia.org/ontology/Atoll,owl:equivalentClass,http://kbpedia.org/kko/rc/Atoll
http://dbpedia.org/ontology/Attack,owl:equivalentClass,http://kbpedia.org/kko/rc/AttackOnObject
http://dbpedia.org/ontology/AustralianFootballLeague,owl:equivalentClass,http://kbpedia.org/kko/rc/AustralianFootballLeague
http://dbpedia.org/ontology/AutomobileEngine,owl:equivalentClass,http://kbpedia.org/kko/rc/AutoEngine
http://dbpedia.org/ontology/Automobile,owl:equivalentClass,http://kbpedia.org/kko/rc/Automobile
http://dbpedia.org/ontology/Award,owl:equivalentClass,http://kbpedia.org/kko/rc/AwardPractice
http://dbpedia.org/ontology/Bacteria,owl:equivalentClass,http://kbpedia.org/kko/rc/Bacterium
http://dbpedia.org/ontology/BadmintonPlayer,owl:equivalentClass,http://kbpedia.org/kko/rc/BadmintonPlayer
http://dbpedia.org/ontology/Band,owl:equivalentClass,http://kbpedia.org/kko/rc/Band-MusicGroup
