id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/spouse,spouse,R,2,1,typings,spouse,The person's spouse.,,,Person,thing,http://schema.org/Person,http://schema.org/Person,,
http://schema.org/supply,supply,R,2,1,typings,supply,A sub-property of instrument. A supply consumed when performing instructions or a direction.,,,InstructionalWork,thing,"http://schema.org/HowTo, http://schema.org/HowToDirection","http://schema.org/HowToSupply, http://schema.org/Text","http://schema.org/ingredients, http://schema.org/recipeIngredient",http://schema.org/instrument
http://schema.org/tool,tool,R,2,1,typings,tool,A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.,,,InstructionalWork,thing,"http://schema.org/HowTo, http://schema.org/HowToDirection","http://schema.org/HowToTool, http://schema.org/Text",,http://schema.org/instrument
http://schema.org/touristType,touristType,R,2,1,typings,touristType,"Attraction suitable for type(s) of tourist. eg. Children, visitors from a particular country, etc.",,,TouristAttraction,thing,"http://schema.org/TouristAttraction, http://schema.org/TouristDestination, http://schema.org/TouristTrip","http://schema.org/Audience, http://schema.org/Text",,
http://schema.org/translator,translator,R,2,1,typings,translator,"Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.",,,ConceptualWork,thing,"http://schema.org/CreativeWork, http://schema.org/Event","http://schema.org/Organization, http://schema.org/Person",,
http://schema.org/typeOfBed,typeOfBed,R,2,1,typings,typeOfBed,"The type of bed to which the BedDetail refers, i.e. the type of bed available in the quantity indicated by quantity.",,,Lodging,thing,http://schema.org/BedDetails,"http://schema.org/BedType, http://schema.org/Text",,
http://schema.org/typeOfGood,typeOfGood,R,2,1,typings,typeOfGood,The product that this structured value is referring to.,,,Product,thing,"http://schema.org/OwnershipInfo, http://schema.org/TypeAndQuantityNode","http://schema.org/Product, http://schema.org/Service",,
http://schema.org/vendor,vendor,R,2,1,typings,vendor,'vendor' is an earlier term for 'seller'.,,,Buying,thing,http://schema.org/BuyAction,"http://schema.org/Organization, http://schema.org/Person",,http://schema.org/participant
http://schema.org/winner,winner,R,2,1,typings,winner,A sub property of participant. The winner of the action.,,,Competition,thing,http://schema.org/LoseAction,http://schema.org/Person,,http://schema.org/participant
http://schema.org/additionalType,additionalType,R,2,1,typingsData,additionalType,"An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.",,,Thing,anyURI,http://schema.org/Thing,http://schema.org/URL,,
