s,p,o
http://schema.org/CarUsageType,rdfs:subClassOf,http://kbpedia.org/kko/rc/Automobile
http://schema.org/SteeringPositionValue,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutomobileSteeringSystem
http://schema.org/AutomotiveBusiness,owl:equivalentClass,http://kbpedia.org/kko/rc/AutomotiveBusiness
http://schema.org/AutoPartsStore,owl:equivalentClass,http://kbpedia.org/kko/rc/AutoPartsStore
http://schema.org/AutoRental,owl:equivalentClass,http://kbpedia.org/kko/rc/AutoRentalCompany
http://schema.org/AutoRepair,owl:equivalentClass,http://kbpedia.org/kko/rc/AutoRepairShop
http://schema.org/Ayurvedic,owl:equivalentClass,http://kbpedia.org/kko/rc/Ayurveda
http://schema.org/Bacteria,owl:equivalentClass,http://kbpedia.org/kko/rc/Bacterium
http://schema.org/Bakery,owl:equivalentClass,http://kbpedia.org/kko/rc/BakeryStore
http://schema.org/BankAccount,owl:equivalentClass,http://kbpedia.org/kko/rc/BankAccount
http://schema.org/BankOrCreditUnion,kko:superClassOf,http://kbpedia.org/kko/rc/BankOrganization
http://schema.org/BarOrPub,owl:equivalentClass,http://kbpedia.org/kko/rc/Bar-DrinkingEstablishment
http://schema.org/Barcode,owl:equivalentClass,http://kbpedia.org/kko/rc/Barcode
http://schema.org/Beach,owl:equivalentClass,http://kbpedia.org/kko/rc/Beach
http://schema.org/HealthAndBeautyBusiness,rdfs:subClassOf,http://kbpedia.org/kko/rc/Beauty-CosmeticsOrganization
http://schema.org/BedDetails,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bed-PieceOfFurniture
http://schema.org/BedType,owl:equivalentClass,http://kbpedia.org/kko/rc/Bed-PieceOfFurniture
http://schema.org/BedAndBreakfast,owl:equivalentClass,http://kbpedia.org/kko/rc/BedAndBreakfast
http://schema.org/BefriendAction,owl:equivalentClass,http://kbpedia.org/kko/rc/BefriendingAnAgent
http://schema.org/SubscribeAction,rdfs:subClassOf,http://kbpedia.org/kko/rc/BeginningAnActivity
http://schema.org/BikeStore,owl:equivalentClass,http://kbpedia.org/kko/rc/BicycleShop
http://schema.org/QuoteAction,owl:equivalentClass,http://kbpedia.org/kko/rc/BidOnSale
http://schema.org/Invoice,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bill-PaymentRequest
http://schema.org/BlogPosting,owl:equivalentClass,http://kbpedia.org/kko/rc/BlogPosting
http://schema.org/LiveBlogPosting,rdfs:subClassOf,http://kbpedia.org/kko/rc/BlogPosting
http://schema.org/BloodTest,owl:equivalentClass,http://kbpedia.org/kko/rc/BloodTest
http://schema.org/BoardingPolicyType,rdfs:subClassOf,http://kbpedia.org/kko/rc/BoardingATransportationDevice
http://schema.org/BodyOfWater,owl:equivalentClass,http://kbpedia.org/kko/rc/BodyOfWater
http://schema.org/Bone,kko:superClassOf,http://kbpedia.org/kko/rc/BoneStructure
http://schema.org/BookFormatType,rdfs:subClassOf,http://kbpedia.org/kko/rc/BookCopy
http://schema.org/Book,owl:equivalentClass,http://kbpedia.org/kko/rc/BookGeneric-CW
http://schema.org/BookSeries,owl:equivalentClass,http://kbpedia.org/kko/rc/BookSeries
http://schema.org/BookStore,owl:equivalentClass,http://kbpedia.org/kko/rc/Bookstore
http://schema.org/BorrowAction,owl:equivalentClass,http://kbpedia.org/kko/rc/BorrowingSomething
http://schema.org/BowlingAlley,owl:equivalentClass,http://kbpedia.org/kko/rc/BowlingAlley
http://schema.org/BrainStructure,rdfs:subClassOf,http://kbpedia.org/kko/rc/Brain
http://schema.org/Brewery,owl:equivalentClass,http://kbpedia.org/kko/rc/Brewery
http://schema.org/Bridge,owl:equivalentClass,http://kbpedia.org/kko/rc/Bridge
http://schema.org/Series,kko:superClassOf,http://kbpedia.org/kko/rc/BroadcastSeriesProduct
http://schema.org/Broker,owl:equivalentClass,http://kbpedia.org/kko/rc/Broker
http://schema.org/BuddhistTemple,owl:equivalentClass,http://kbpedia.org/kko/rc/BuddhistTemple
http://schema.org/HomeAndConstructionBusiness,rdfs:subClassOf,http://kbpedia.org/kko/rc/BuildingContractor-Organization
http://schema.org/BusOrCoach,kko:superClassOf,http://kbpedia.org/kko/rc/Bus-RoadVehicle
http://schema.org/LocalBusiness,rdfs:subClassOf,http://kbpedia.org/kko/rc/Business
http://schema.org/MedicalBusiness,rdfs:subClassOf,http://kbpedia.org/kko/rc/Business
http://schema.org/BusinessEvent,owl:equivalentClass,http://kbpedia.org/kko/rc/BusinessEvent
http://schema.org/BusinessFunction,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessEvent
http://schema.org/BusinessEntityType,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessRelatedThing
http://schema.org/BusStation,owl:equivalentClass,http://kbpedia.org/kko/rc/BusStation
http://schema.org/BusStop,owl:equivalentClass,http://kbpedia.org/kko/rc/BusStop
http://schema.org/BuyAction,owl:equivalentClass,http://kbpedia.org/kko/rc/BuyingActivity
http://schema.org/RadioSeason,rdfs:subClassOf,http://kbpedia.org/kko/rc/CalendarSeasonType
http://schema.org/Season,owl:equivalentClass,http://kbpedia.org/kko/rc/CalendarSeasonType
http://schema.org/Campground,owl:equivalentClass,http://kbpedia.org/kko/rc/Campground
http://schema.org/CampingPitch,rdfs:subClassOf,http://kbpedia.org/kko/rc/Campsite
http://schema.org/Canal,owl:equivalentClass,http://kbpedia.org/kko/rc/Canal
http://schema.org/CancelAction,rdfs:subClassOf,http://kbpedia.org/kko/rc/Canceling-Declaring-Evaluating
http://schema.org/AutoWash,owl:equivalentClass,http://kbpedia.org/kko/rc/CarWashShop
http://schema.org/Casino,owl:equivalentClass,http://kbpedia.org/kko/rc/Casino-Organization
http://schema.org/DataCatalog,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catalog-CW
http://schema.org/OfferCatalog,rdfs:subClassOf,http://kbpedia.org/kko/rc/Catalog-CW
http://schema.org/CatholicChurch,owl:equivalentClass,http://kbpedia.org/kko/rc/CatholicChurch
http://schema.org/Chapter,rdfs:subClassOf,http://kbpedia.org/kko/rc/Chapter-PCW
http://schema.org/DonateAction,kko:superClassOf,http://kbpedia.org/kko/rc/CharitableDonation
